symbol,date,p/e,eps (ttm),insider own,shs outstand,market cap,forward p/e,eps next y,insider trans,shs float,perf month,income,peg,eps next q,inst own,short float,perf quarter,sales,p/s,eps this y,inst trans,short ratio,perf half y,book/sh,p/b,eps next y.1,roa,target price,perf year,cash/sh,p/c,eps next 5y,roe,52w range,perf ytd,dividend,p/fcf,eps past 5y,roi,52w high,beta,dividend %,quick ratio,sales past 5y,gross margin,52w low,atr,employees,current ratio,sales q/q,oper. margin,rsi (14),volatility,optionable,debt/eq,eps q/q,profit margin,rel volume,prev close,shortable,lt debt/eq,earnings,payout,cap,size,symbol,name,market cap,country,ipo year,sector,industry
aap,12-18-2020,22.94,6.87,0.20%,68.97M,10.61B,16.59,9.50,0.00%,67.60M,6.74%,476.90M,1.93,1.96,-,4.38%,2.71%,9.85B,1.08,21.10%,-0.78%,3.27,11.07%,54.56,2.89,10.68%,4.00%,175.13,-1.56%,15.88,9.93,11.90%,13.10%,71.33 - 170.50,-1.56%,1.00,17.16,0.40%,12.30%,-7.93%,1.27,0.63%,0.40,-0.30%,43.90%,120.08%,3.47,39000,1.40,9.90%,6.90%,51.32,1.87% 2.32%,Yes,0.00,21.70%,4.80%,0.45,157.66,Yes,0.27,Nov 10 BMO,12.60%,large,10610000000.0,aap,Advance Auto Parts Inc Advance Auto Parts Inc W/I,10751890977.0,United States,,Consumer Services,Other Specialty Stores
aapl,12-18-2020,40.93,3.27,0.07%,17.06B,2256.08B,30.83,4.34,-6.93%,16.99B,12.32%,57.41B,3.24,1.39,59.80%,0.56%,15.46%,274.52B,8.22,10.20%,-,0.82,46.90%,3.83,34.91,9.27%,17.60%,127.11,82.15%,5.39,24.81,12.64%,75.20%,53.15 - 138.79,82.15%,0.82,38.06,7.30%,31.70%,-4.57%,1.28,0.61%,1.30,3.30%,38.20%,149.17%,3.22,147000,1.40,1.00%,24.10%,62.11,2.24% 2.29%,Yes,1.73,-3.00%,20.90%,0.84,133.72,Yes,1.52,Oct 29 AMC,24.10%,large,2256080000000.0,aapl,Apple Inc. Common Stock,2328920000000.0,United States,1980.0,Technology,Computer Manufacturing
aat,12-18-2020,45.02,0.63,0.90%,59.83M,1.69B,33.56,0.85,-,59.37M,-1.15%,37.60M,15.01,0.14,97.10%,1.24%,17.73%,362.20M,4.66,101.50%,0.14%,2.27,0.82%,21.41,1.32,52.25%,1.30%,27.60,-38.21%,2.61,10.88,3.00%,2.90%,20.15 - 48.15,-38.21%,1.00,-,10.50%,4.30%,-41.08%,1.22,3.53%,-,7.10%,65.10%,40.79%,0.94,199,-,-14.20%,28.20%,49.49,2.84% 2.87%,Yes,1.10,-61.20%,10.40%,0.12,28.36,Yes,1.10,Oct 27 AMC,166.80%,large,1690000000.0,aat,American Assets Trust Inc. Common Stock,1712035184.0,United States,2011.0,Consumer Services,Real Estate Investment Trusts
aau,12-18-2020,-,-0.02,7.20%,119.16M,58.98M,-,-0.02,0.00%,114.95M,-53.53%,-2.50M,-,-0.01,5.90%,0.46%,-42.56%,-,-,-3.20%,44.19%,0.44,-4.93%,0.47,1.01,-,-4.20%,-,-19.52%,0.02,21.85,-,-4.60%,0.21 - 1.24,-19.52%,-,-,31.70%,-,-62.79%,1.14,-,9.50,-,-,117.54%,0.07,12,9.50,-,-,29.55,6.30% 11.47%,Yes,0.04,81.30%,-,1.22,0.47,Yes,0.04,-,-,small,58980000.0,aau,Almaden Minerals Ltd. Common Shares,57718675.0,Canada,2015.0,Basic Industries,Precious Metals
aaww,12-18-2020,-,-9.16,1.40%,26.14M,1.49B,6.32,8.64,-29.17%,25.57M,-2.15%,-233.90M,-,3.50,-,11.32%,-10.33%,3.03B,0.49,-218.60%,-0.78%,6.06,24.45%,77.19,0.71,-28.91%,-4.20%,79.50,98.08%,26.27,2.08,10.00%,-12.40%,14.97 - 69.08,98.08%,-,1.82,-36.10%,-5.00%,-20.89%,1.36,-,1.00,8.80%,57.70%,265.06%,1.72,3587,1.00,24.90%,-9.70%,44.86,2.57% 3.23%,Yes,1.17,19.90%,-7.70%,0.41,54.61,Yes,1.03,Nov 05 BMO,-,large,1490000000.0,aaww,Atlas Air Worldwide Holdings NEW Common Stock,1502444416.0,United States,,Transportation,Transportation Services
aaxn,12-18-2020,-,-0.66,1.10%,63.50M,7.94B,96.03,1.29,-31.76%,62.72M,-1.44%,-39.90M,-,0.35,88.40%,4.97%,36.58%,626.70M,12.66,-97.10%,3.73%,5.80,24.67%,14.10,8.79,16.22%,-3.80%,120.75,69.05%,7.91,15.66,18.80%,-5.60%,50.05 - 134.73,69.05%,-,-,-47.40%,-1.40%,-9.03%,0.63,-,3.00,26.40%,58.70%,144.89%,4.74,1323,3.40,27.20%,-5.50%,48.31,4.12% 3.65%,Yes,0.00,-113.50%,-6.40%,0.4,123.88,Yes,0.00,Nov 05 AMC,-,large,7940000000.0,aaxn,Axon Enterprise Inc. Common Stock,7899887820.0,United States,,Capital Goods,Ordnance And Accessories
ab,12-18-2020,12.07,2.75,6.37%,96.35M,3.20B,10.86,3.06,-0.15%,90.15M,4.27%,266.20M,1.10,0.76,19.40%,0.26%,22.89%,294.90M,10.84,-0.70%,-5.09%,0.51,24.83%,15.51,2.14,13.41%,17.60%,34.21,9.81%,0.00,-,11.01%,17.60%,13.24 - 36.06,9.81%,2.76,-,6.40%,15.40%,-6.38%,1.53,8.31%,-,5.80%,-,154.98%,0.73,3811,-,10.80%,100.00%,60.89,1.61% 2.44%,Yes,0.00,12.00%,90.30%,0.64,33.23,Yes,0.00,Oct 22 BMO,99.20%,large,3200000000.0,ab,AllianceBernstein Holding L.P.  Units,3191072166.0,United States,,Finance,Investment Managers
abb,12-18-2020,125.25,0.22,-,2.12B,60.05B,-,-,-,1.95B,6.04%,481.00M,8.58,-,4.80%,0.28%,9.74%,26.02B,2.31,-27.90%,20.03%,3.26,20.08%,7.90,3.54,-,12.00%,24.61,15.94%,4.02,6.96,14.60%,41.10%,14.71 - 28.11,15.94%,0.83,34.19,-15.30%,5.20%,-0.64%,1.09,2.97%,1.10,-6.80%,30.70%,89.87%,0.38,144400,1.40,-4.50%,6.40%,64.31,1.01% 1.18%,Yes,0.52,-221.10%,21.30%,0.24,27.93,Yes,0.38,Oct 23 BMO,30.10%,large,60050000000.0,abb,ABB Ltd Common Stock,57481184481.0,Switzerland,,Consumer Durables,Electrical Products
abbv,12-18-2020,23.01,4.57,0.10%,1.77B,185.89B,8.64,12.19,-24.98%,1.76B,0.66%,7.32B,2.10,2.86,70.10%,0.79%,20.18%,40.65B,4.57,42.30%,-0.99%,1.71,6.18%,8.63,12.20,16.25%,6.10%,115.71,18.90%,4.50,23.38,10.98%,203.50%,62.55 - 109.15,18.90%,5.20,22.90,36.80%,21.20%,-2.26%,0.82,4.94%,0.80,10.80%,68.60%,70.56%,1.97,47000,1.00,52.20%,28.50%,63.57,1.06% 1.93%,Yes,5.70,2.20%,18.00%,0.6,105.27,Yes,5.39,Oct 30 BMO,100.60%,large,185890000000.0,abbv,AbbVie Inc. Common Stock,186408000000.0,United States,2012.0,Health Care,Major Pharmaceuticals
abc,12-18-2020,-,-16.80,0.10%,204.08M,19.86B,10.66,9.10,-42.01%,146.95M,-5.96%,-3408.70M,-,1.94,67.20%,1.82%,0.04%,189.89B,0.10,-530.90%,-0.62%,2.75,-2.50%,-4.99,-,8.28%,-8.20%,117.69,14.04%,22.45,4.32,8.04%,-145.30%,72.06 - 111.25,14.04%,1.76,13.30,8.70%,-105.20%,-13.28%,0.58,1.82%,0.60,6.90%,2.70%,33.89%,2.0,22000,1.00,7.90%,-2.70%,38.93,1.63% 2.03%,Yes,-,-,-1.80%,0.33,96.96,Yes,-,Nov 05 BMO,-,large,19860000000.0,abc,AmerisourceBergen Corporation Common Stock,19853075408.0,United States,,Health Care,Other Pharmaceuticals
abcb,12-18-2020,11.52,3.30,0.30%,69.23M,2.64B,10.43,3.64,-3.02%,65.72M,11.61%,229.00M,1.44,1.16,85.30%,2.76%,66.64%,741.80M,3.56,-1.60%,0.07%,4.56,69.54%,37.05,1.02,1.87%,1.20%,41.29,-10.77%,11.49,3.30,8.00%,9.20%,17.12 - 43.79,-10.77%,0.60,-,13.50%,15.20%,-12.61%,1.46,1.58%,-,31.10%,-,123.54%,1.36,2645,-,-4.50%,66.10%,60.73,3.16% 3.59%,Yes,0.19,445.10%,30.90%,0.25,37.96,Yes,0.19,Oct 22 AMC,18.20%,large,2640000000.0,abcb,Ameris Bancorp Common Stock,2632301882.0,United States,1994.0,Finance,Major Banks
abcl,12-18-2020,2283.33,0.02,23.40%,270.83M,11.13B,-,-,0.00%,191.87M,-,0.30M,-,-,-,0.50%,-,20.40M,545.64,-857.50%,-,0.50,-,-,-,-,-,-,-,0.34,122.19,-,-,37.62 - 71.91,-30.22%,-,-,-,-61.40%,-45.84%,-,-,5.60,-,-,3.54%,6.39,174,5.70,171.30%,-,-,9.26% -,No,0.31,-,-,0.77,41.1,Yes,0.27,-,-,large,11130000000.0,abcl,AbCellera Biologics Inc. Common Shares,10253474997.0,Canada,2020.0,Health Care,Major Pharmaceuticals
abcm,12-18-2020,-,-,-,226.55M,5.09B,-,-,-,183.67M,17.79%,-,-,-,0.59%,0.16%,-,-,-,-,-,1.19,-,-,-,-,-,-,-,-,-,-,-,17.71 - 23.48,13.67%,0.15,-,-,-,-10.60%,-,0.67%,-,-,-,18.52%,0.73,1492,-,-9.90%,-,58.95,4.61% 3.15%,No,-,-,-,0.98,22.45,Yes,-,-,-,large,5090000000.0,abcm,Abcam plc American Depositary Shares,4956954544.0,United Kingdom,2020.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
abeo,12-18-2020,-,-1.04,2.20%,93.77M,165.01M,-,-0.62,-12.56%,82.55M,-0.62%,-84.80M,-,-0.11,38.40%,2.73%,57.84%,7.00M,23.57,-27.10%,-15.69%,0.97,-43.51%,1.23,1.31,25.30%,-47.00%,-,-50.76%,0.94,1.70,-,-62.00%,0.99 - 4.34,-50.76%,-,-,37.00%,-,-63.59%,1.70,-,2.70,-,-,59.68%,0.14,88,2.70,-,-,52.19,12.12% 8.47%,Yes,0.02,77.90%,-,0.57,1.61,Yes,0.00,-,-,small,165010000.0,abeo,Abeona Therapeutics Inc. Common Stock,156166441.0,United States,,Health Care,Major Pharmaceuticals
abev,12-18-2020,17.33,0.18,-,15.74B,47.99B,23.46,0.13,-,4.39B,17.68%,-,-,0.05,8.61%,1.55%,38.51%,-,-,-47.40%,-,2.88,14.66%,0.99,3.09,30.00%,-,3.23,-32.83%,-,-,-,-,1.85 - 4.61,-32.83%,0.10,-,39.83%,-,-34.47%,-,3.28%,-,-,-,63.13%,0.09,50000,-,30.50%,-,56.66,1.98% 2.95%,Yes,-,-8.90%,-,0.12,3.05,Yes,-,-,-,large,47990000000.0,abev,Ambev S.A. American Depositary Shares (Each representing 1 Common Share),48699691971.0,,2013.0,Consumer Non-Durables,Beverages (Production/Distribution)
abg,12-18-2020,13.50,10.81,0.20%,19.20M,2.81B,10.25,14.24,-4.69%,19.09M,29.41%,208.90M,0.73,4.07,-,12.18%,49.76%,6.79B,0.41,15.00%,-0.27%,11.09,93.68%,42.29,3.45,14.42%,6.70%,142.25,30.55%,0.21,686.27,18.50%,29.50%,39.36 - 150.00,30.55%,-,4.50,20.80%,11.30%,-1.97%,1.71,-,0.40,4.20%,17.00%,273.60%,6.43,8500,1.10,0.20%,5.20%,61.06,5.05% 4.51%,Yes,2.36,112.70%,3.10%,0.34,145.94,Yes,1.45,Oct 27 BMO,0.00%,large,2810000000.0,abg,Asbury Automotive Group Inc Common Stock,2829768458.0,United States,2002.0,Consumer Durables,Automotive Aftermarket
abio,12-18-2020,-,-2.65,0.30%,9.32M,38.96M,-,-,-,9.28M,-3.77%,-5.80M,-,-,8.50%,0.44%,-7.69%,-,-,59.80%,52.94%,0.08,-39.20%,8.35,0.49,-,-29.30%,-,-28.56%,5.35,0.76,-,-31.30%,2.21 - 22.00,-28.56%,-,-,41.30%,-,-81.64%,2.83,-,34.00,-,-,82.81%,0.23,9,34.00,-,-,45.48,4.36% 5.21%,Yes,0.00,56.70%,-,1.23,4.08,Yes,0.00,-,-,small,38960000.0,abio,ARCA biopharma Inc. Common Stock,37658739.0,United States,,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
abm,12-18-2020,-,-0.02,1.00%,66.90M,2.55B,14.28,2.64,-4.73%,65.96M,-1.97%,0.40M,-,0.59,95.10%,1.31%,2.95%,5.99B,0.43,-99.80%,-1.64%,2.51,5.01%,22.43,1.68,10.54%,0.00%,49.00,0.08%,5.83,6.47,16.00%,0.00%,19.79 - 41.79,0.08%,0.76,6.89,-68.40%,1.90%,-9.02%,1.25,2.01%,1.50,4.10%,15.10%,92.11%,1.23,114000,1.50,-9.90%,1.60%,44.68,2.22% 3.08%,Yes,0.48,8.30%,0.00%,0.37,37.74,Yes,0.40,Dec 16 AMC,-,large,2550000000.0,abm,ABM Industries Incorporated Common Stock,2528818420.0,United States,,Finance,Diversified Commercial Services
abmd,12-18-2020,71.10,4.56,1.10%,45.10M,14.67B,63.94,5.07,-19.37%,44.12M,18.18%,207.80M,4.16,1.13,98.20%,4.38%,16.91%,802.90M,18.27,-21.00%,-0.82%,6.68,26.92%,26.22,12.35,12.90%,16.70%,324.60,89.88%,11.77,27.52,17.10%,18.90%,119.01 - 328.83,89.88%,-,59.64,10.80%,17.90%,-1.66%,1.39,-,6.00,29.60%,80.80%,171.71%,9.81,1536,6.80,2.30%,27.30%,77.18,2.92% 3.52%,Yes,0.00,378.60%,25.90%,0.4,323.92,Yes,0.00,Oct 29 BMO,0.00%,large,14670000000.0,abmd,ABIOMED Inc. Common Stock,14563343594.0,United States,,Health Care,Medical/Dental Instruments
abnb,12-18-2020,-,-1.76,13.50%,613.43M,91.05B,-,-0.72,0.00%,101.58M,-,-1048.40M,-,-2.79,4.69%,1.66%,-,3.63B,25.11,-,-,0.10,-,-,-,89.30%,-,123.25,-,7.33,20.26,-,-,121.50 - 174.97,2.57%,-,-,-,95.80%,-17.15%,-,-,1.60,-,52.50%,19.32%,14.32,5465,1.60,-18.40%,-22.80%,-,7.13% -,Yes,-,-17.70%,-28.90%,0.17,148.43,Yes,-,-,-,large,91050000000.0,abnb,Airbnb Inc. Class A Common Stock,88025511438.0,United States,2020.0,Finance,Diversified Commercial Services
abr,12-18-2020,18.81,0.75,1.30%,113.77M,1.75B,9.04,1.56,0.00%,109.10M,6.08%,102.30M,2.35,0.42,41.50%,4.66%,23.19%,543.60M,3.22,-14.30%,1.51%,3.62,56.48%,9.70,1.46,35.09%,1.60%,14.20,-1.53%,1.55,9.11,8.00%,9.70%,3.54 - 15.32,-1.53%,1.28,-,-5.50%,2.50%,-7.89%,1.86,9.06%,-,30.60%,67.40%,298.62%,0.38,532,-,10.80%,16.80%,55.01,2.13% 2.74%,Yes,4.63,73.90%,18.80%,0.6,14.13,Yes,4.63,Oct 30 BMO,129.70%,large,1750000000.0,abr,Arbor Realty Trust Common Stock,1752197924.0,United States,2004.0,Consumer Services,Real Estate Investment Trusts
abst,12-18-2020,-,-,0.43%,48.78M,580.94M,-,-,0.00%,34.17M,15.63%,-,-,-,55.89%,1.86%,4.84%,107.51M,5.40,-,-,6.37,20.06%,-,-,-,-,-,91.48%,-,-,-,-,4.90 - 13.95,79.37%,0.25,-,-,-,-14.19%,-,2.10%,-,-,-,144.29%,0.44,520,-,11.10%,-,61.23,4.23% 3.60%,No,-,-24.60%,-,0.5,11.91,Yes,-,-,-,small,580940000.0,abst,Absolute Software Corporation Common Stock,578992344.0,Canada,2020.0,Technology,Computer Software: Prepackaged Software
abt,12-18-2020,57.68,1.88,0.20%,1.77B,190.60B,24.62,4.41,-6.79%,1.76B,0.20%,3.35B,4.34,1.35,75.70%,0.50%,-0.36%,32.22B,5.92,45.20%,0.43%,1.85,18.33%,17.69,6.13,23.94%,5.00%,120.47,24.84%,2.69,40.29,13.28%,11.00%,61.61 - 115.14,24.84%,1.80,90.76,12.40%,8.20%,-5.80%,0.83,1.66%,1.20,9.50%,56.80%,76.04%,1.84,107000,1.70,9.60%,13.50%,51.57,1.44% 1.59%,Yes,0.59,28.10%,10.50%,0.27,108.44,Yes,0.58,Oct 21 BMO,73.30%,large,190600000000.0,abt,Abbott Laboratories Common Stock,191956000000.0,United States,,Health Care,Major Pharmaceuticals
abtx,12-18-2020,16.01,2.11,0.70%,20.44M,688.23M,14.05,2.40,-14.52%,18.78M,6.66%,43.60M,-,0.71,46.30%,1.63%,44.50%,236.90M,2.91,4.50%,-1.19%,5.23,41.36%,36.84,0.92,11.87%,0.80%,32.50,-10.19%,17.51,1.93,-,6.00%,20.88 - 38.95,-10.19%,0.40,18.60,14.40%,17.90%,-13.27%,1.19,1.18%,-,34.80%,-,61.78%,1.13,587,-,3.60%,80.80%,55.42,2.95% 3.11%,Yes,0.35,39.00%,18.40%,0.33,33.77,Yes,0.35,Oct 29 BMO,14.10%,small,688230000.0,abtx,Allegiance Bancshares Inc. Common Stock,691125838.0,United States,2015.0,Finance,Major Banks
abus,12-18-2020,-,-1.24,1.60%,79.49M,330.56M,-,-0.83,-4.05%,60.90M,-17.88%,-83.20M,-,-0.23,31.10%,4.84%,18.85%,6.10M,54.19,-137.80%,-6.11%,0.98,103.28%,-0.62,-,15.30%,-76.20%,-,33.81%,1.33,2.79,-,128.90%,0.88 - 9.02,33.81%,-,-,-9.90%,203.20%,-60.75%,3.22,-,15.90,-16.70%,-,302.27%,0.42,80,15.90,-51.60%,-,44.02,7.22% 11.10%,Yes,-,81.70%,-,0.9,3.72,Yes,-,Nov 05 BMO,-,small,330560000.0,abus,Arbutus Biopharma Corporation Common Stock,305673329.0,Canada,,Health Care,Major Pharmaceuticals
ac,12-18-2020,-,-0.93,0.50%,22.35M,801.09M,-,-,7.96%,3.26M,-6.88%,-20.80M,-,-,74.80%,1.58%,-1.41%,23.60M,33.94,169.10%,-0.66%,5.78,1.04%,38.12,0.93,-,-11.00%,-,-8.60%,2.10,16.94,-,-12.60%,24.19 - 65.08,-8.60%,0.20,-,71.70%,-3.10%,-44.56%,1.33,0.56%,-,8.30%,-,49.17%,1.34,39,-,-32.10%,-38.00%,49.86,2.32% 3.59%,No,0.02,-4.20%,-,0.58,35.62,Yes,0.00,-,-,small,801090000.0,ac,Associated Capital Group Inc. Common Stock,805996451.0,United States,2015.0,Finance,Investment Bankers/Brokers/Service
aca,12-18-2020,22.81,2.40,0.10%,48.10M,2.65B,23.20,2.36,0.00%,47.98M,5.43%,116.30M,4.65,0.41,90.50%,1.15%,24.09%,1.92B,1.38,52.80%,0.78%,2.19,33.11%,39.12,1.40,-6.58%,4.60%,57.40,22.81%,3.90,14.04,4.90%,6.30%,28.14 - 57.26,22.81%,0.20,9.63,-6.30%,6.30%,-3.88%,-,0.37%,1.40,-2.50%,19.50%,95.59%,1.57,6275,2.40,10.10%,8.60%,56.36,2.27% 2.56%,Yes,0.14,-4.70%,6.00%,0.15,54.71,Yes,0.13,Oct 28 AMC,8.30%,large,2650000000.0,aca,Arcosa Inc. Common Stock ,2631054066.0,,2018.0,Capital Goods,Metal Fabrications
acad,12-18-2020,-,-1.71,0.38%,158.13M,8.55B,-,-1.01,-6.81%,116.72M,-5.24%,-267.90M,-,-0.47,96.70%,6.02%,30.16%,419.10M,20.40,17.50%,-0.96%,7.15,6.76%,4.14,12.97,45.10%,-34.70%,60.37,25.50%,4.05,13.26,25.00%,-40.30%,30.02 - 58.72,25.50%,-,-,-10.90%,-35.40%,-8.92%,1.46,-,7.90,390.00%,95.10%,78.16%,1.82,580,7.90,27.50%,-65.80%,50.37,3.27% 3.53%,Yes,0.00,-86.10%,-63.90%,0.36,53.69,Yes,0.00,Nov 04 AMC,-,large,8550000000.000002,acad,ACADIA Pharmaceuticals Inc. Common Stock,8491019627.0,United States,2004.0,Health Care,Major Pharmaceuticals
