symbol,name,market cap,country,ipo year,sector,industry
dms,Digital Media Solutions Inc. Class A Ordinary Shares,672092392,United States,2018,Miscellaneous,Business Services
dmtk,DermTech Inc. Common Stock,667612075,United States,2017,Health Care,Medical Specialities
dmyd,dMY Technology Group Inc. II Class A Common Stock,574597500,United States,2020,Finance,Business Services
dnb,Dun & Bradstreet Holdings Inc. Common Stock,10977864360,United States,2020,Finance,Finance: Consumer Services
dnk,Phoenix Tree Holdings Limited American Depositary Shares each representing ten (10) Class A ordinary shares,558332640,,2020,Consumer Services,Building operators
dnli,Denali Therapeutics Inc. Common Stock,10320185766,United States,2017,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
dnn,Denison Mines Corp Ordinary Shares (Canada),494291348,Canada,,Basic Industries,Precious Metals
dnow,NOW Inc. Common Stock,768938778,,2014,Energy,Metal Fabrications
dnp,DNP Select Income Fund Inc. Common Stock,3119438833,United States,1987,,
doc,Physicians Realty Trust Common Shares of Beneficial Interest,3731477156,United States,2013,Consumer Services,Real Estate Investment Trusts
docu,DocuSign Inc. Common Stock,42885685654,United States,2018,Technology,Computer Software: Prepackaged Software
dogz,Dogness (International) Corporation Class A Common Stock,56232579,China,2017,Consumer Durables,Miscellaneous manufacturing industries
domo,Domo Inc. Class B Common Stock,1936819097,United States,2018,Technology,Computer Software: Prepackaged Software
dooo,BRP Inc. (Recreational Products) Common Subordinate Voting Shares,5792178164,Canada,,Capital Goods,Industrial Specialties
door,Masonite International Corporation Ordinary Shares (Canada),2414522368,Canada,,Basic Industries,Forest Products
dorm,Dorman Products Inc. Common Stock,2888690781,United States,,Capital Goods,Auto Parts:O.E.M.
dov,Dover Corporation Common Stock,17940860726,United States,,Technology,Industrial Machinery/Components
dow,Dow Inc. Common Stock ,40907609674,,2019,Basic Industries,Major Chemicals
dox,Amdocs Limited Ordinary Shares,9143624093,Guernsey,,Technology,EDP Services
doyu,DouYu International Holdings Limited ADS,3755620244,China,2019,Technology,Computer Software: Programming Data Processing
dpg,Duff & Phelps Utility and Infrastructure Fund Inc.,455916268,United States,2011,,
dpw,DPW Holdings Inc. Common Stock,78900819,United States,,Capital Goods,Industrial Machinery/Components
dpz,Domino's Pizza Inc Common Stock,15290118521,United States,2004,Consumer Non-Durables,Food Distributors
dq,DAQO New Energy Corp. American Depositary Shares each representing five ordinary shares,3959188633,China,2010,Technology,Semiconductors
drad,Digirad Corporation Common Stock,13522311,United States,2004,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
drd,DRDGOLD Limited American Depositary Shares,995352452,South Africa,,Basic Industries,Precious Metals
dre,Duke Realty Corporation Common Stock,14770181000,United States,,Consumer Services,Real Estate Investment Trusts
drh,Diamondrock Hospitality Company Common Stock,1686932130,United States,2005,Consumer Services,Real Estate Investment Trusts
dri,Darden Restaurants Inc. Common Stock,15344062340,United States,,Consumer Services,Restaurants
drio,DarioHealth Corp. Common Stock,110688796,Israel,,Health Care,Medical/Dental Instruments
drna,Dicerna Pharmaceuticals Inc. Common Stock,1681005670,United States,2014,Health Care,Major Pharmaceuticals
drq,Dril-Quip Inc. Common Stock,1052522892,United States,1997,Energy,Metal Fabrications
drrx,DURECT Corporation Common Stock,436835407,United States,2000,Health Care,Major Pharmaceuticals
drtt,DIRTT Environmental Solutions Ltd. Common Shares,197307578,Canada,,Technology,Computer Software: Prepackaged Software
ds,Drive Shack Inc.,166812697,United States,,Consumer Services,Restaurants
dsac,Duddell Street Acquisition Corp. Class A Ordinary Shares,218312500,Hong Kong,2020,Finance,Business Services
dse,Duff & Phelps Select MLP and Midstream Energy Fund Inc.,12628039,United States,2014,,
dsgx,Descartes Systems Group Inc. (The) Common Stock,4974417037,Canada,,Technology,Computer Software: Prepackaged Software
dske,Daseke Inc. Common Stock,374533482,United States,2015,Consumer Services,Transportation Services
dsl,DoubleLine Income Solutions Fund Common Shares of Beneficial Interests,1672093291,,2013,,
dsm,BNY Mellon Strategic Municipal Bond Fund Inc. Common Stock,381039850,United States,1989,,
dspg,DSP Group Inc. Common Stock,383924801,United States,1994,Technology,Semiconductors
dss,Document Security Systems Inc. Common Stock,37410119,United States,,Consumer Durables,Containers/Packaging
dssi,Diamond S Shipping Inc. Common Stock ,272974003,,2019,Consumer Services,Transportation Services
dsu,Blackrock Debt Strategies Fund Inc. Common Stock,480931748,United States,1998,,
dswl,Deswell Industries Inc. Common Shares,46370640,Macau,1995,Consumer Non-Durables,Plastic Products
dsx,Diana Shipping inc. common stock,170515254,Greece,2005,Transportation,Marine Transportation
dt,Dynatrace Inc. Common Stock,12257093577,United States,2019,Technology,Computer Software: Prepackaged Software
dte,DTE Energy Company Common Stock,23201988413,United States,,Public Utilities,Electric Utilities: Central
dtea,DAVIDsTEA Inc. Common Stock,68462667,Canada,2015,Consumer Non-Durables,Food Chains
dtf,DTF Tax-Free Income Inc. Common Stock,126617379,United States,1991,,
dtil,Precision BioSciences Inc. Common Stock,448708010,United States,2019,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
dtss,Datasea Inc. Common Stock,43563200,China,,Technology,Computer Software: Prepackaged Software
duc,Duff & Phelps Utility & Corporate Bond Trust Inc. Common Stock,275221777,United States,1993,,
duk,Duke Energy Corporation (Holding Company) Common Stock,66883913933,United States,,Public Utilities,Power Generation
duo,Fangdd Network Group Ltd. American Depositary Shares,608480250,China,2019,Finance,Real Estate
duot,Duos Technologies Group Inc. Common Stock,15461316,United States,,Technology,Computer Software: Prepackaged Software
dva,DaVita Inc. Common Stock,13031385188,United States,,Health Care,Misc Health and Biotechnology Services
dvax,Dynavax Technologies Corporation Common Stock,532145926,United States,2004,Health Care,Major Pharmaceuticals
dvd,Dover Motorsports Inc. Common Stock,80019240,United States,1996,Consumer Services,Services-Misc. Amusement & Recreation
dvn,Devon Energy Corporation Common Stock,6122134249,United States,,Energy,Oil & Gas Production
dwsn,Dawson Geophysical Company Common Stock,50947416,United States,,Energy,Oil & Gas Production
dx,Dynex Capital Inc. Common Stock,410582996,United States,,Consumer Services,Real Estate Investment Trusts
dxc,DXC Technology Company Common Stock ,6210200777,,,Technology,EDP Services
dxcm,DexCom Inc. Common Stock,34636196126,United States,2005,Health Care,Medical/Dental Instruments
dxf,Dunxin Financial Holdings Limited American Depositary Shares,29226904,China,,Finance,Finance: Consumer Services
dxpe,DXP Enterprises Inc. Common Stock,401714390,United States,,Capital Goods,Industrial Machinery/Components
dxr,Daxor Corporation Common Stock,50612883,United States,,Health Care,Medical/Dental Instruments
dxyn,Dixie Group Inc. (The) Common Stock,41748131,United States,,Consumer Durables,Home Furnishings
dy,Dycom Industries Inc. Common Stock,2410721844,United States,,Basic Industries,Water Supply
dyai,Dyadic International Inc. Common Stock,148156308,United States,,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
dyn,Dyne Therapeutics Inc. Common Stock,1025696246,United States,2020,Health Care,Major Pharmaceuticals
dynt,Dynatronics Corporation Common Stock,12048505,United States,,Health Care,Medical/Dental Instruments
dzsi,DZS Inc. Common Stock,340620077,United States,,Public Utilities,Telecommunications Equipment
e,ENI S.p.A. Common Stock,37034373306,Italy,,Energy,Oil & Gas Production
ea,Electronic Arts Inc. Common Stock,41298243100,United States,,Technology,Computer Software: Prepackaged Software
ead,Wells Fargo Income Opportunities Fund Common Shares,492985781,United States,2003,,
eaf,GrafTech International Ltd. Common Stock,2789448431,United States,2018,Energy,Industrial Machinery/Components
ear,Eargo Inc. Common Stock,1849754787,United States,2020,Health Care,Industrial Specialties
earn,Ellington Residential Mortgage REIT Common Shares of Beneficial Interest,158376726,United States,2013,Consumer Services,Real Estate Investment Trusts
ears,Auris Medical Holding Ltd. Common Shares 0.01 SF (Bermuda),18645417,Bermuda,2014,Health Care,Major Pharmaceuticals
east,Eastside Distilling Inc. Common Stock,12991043,United States,,Consumer Non-Durables,Beverages (Production/Distribution)
eat,Brinker International Inc. Common Stock,2530774187,United States,,Consumer Services,Restaurants
eb,Eventbrite Inc. Class A Common Stock,1707068434,United States,2018,Technology,Computer Software: Programming Data Processing
ebay,eBay Inc. Common Stock,35169982867,United States,1998,Miscellaneous,Business Services
ebc,Eastern Bankshares Inc. Common Stock,3077774378,United States,2020,Finance,Savings Institutions
ebf,Ennis Inc. Common Stock,457948401,United States,,Consumer Services,Office Equipment/Supplies/Services
ebix,Ebix Inc. Common Stock,1153045697,United States,,Technology,EDP Services
ebmt,Eagle Bancorp Montana Inc. Common Stock,145594106,United States,,Finance,Major Banks
ebon,Ebang International Holdings Inc. Class A Ordinary Shares,652542875,China,2020,Technology,Semiconductors
ebr,Centrais Electricas Brasileiras S A American Depositary Shares (Each representing one Common Share),11076652225,,2016,Public Utilities,Electric Utilities: Central
ebs,Emergent Biosolutions Inc. Common Stock,4890230556,United States,2006,Health Care,Major Pharmaceuticals
ebsb,Meridian Bancorp Inc. Common Stock,782004332,United States,,Finance,Major Banks
ebtc,Enterprise Bancorp Inc Common Stock,301142233,United States,,Finance,Major Banks
ec,Ecopetrol S.A. American Depositary Shares,27044505926,Colombia,,Energy,Oil & Gas Production
ecc           ,Eagle Point Credit Company Inc. Common Stock,322181359,United States,2014,,
ecf,Ellsworth Growth and Income Fund Ltd.,183682343,United States,1986,,
echo,Echo Global Logistics Inc. Common Stock,720278262,United States,2009,Transportation,Oil Refining/Marketing
ecl,Ecolab Inc. Common Stock,61579089329,United States,,Basic Industries,Package Goods/Cosmetics
ecol,US Ecology Inc Common Stock,1137279773,United States,,Public Utilities,Environmental Services
ecom          ,ChannelAdvisor Corporation Common Stock,473572450,United States,2013,Technology,Computer Software: Prepackaged Software
ecor,electroCore Inc. Common Stock,67272596,United States,2018,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
ecpg,Encore Capital Group Inc Common Stock,1200658159,United States,,Finance,Finance Companies
ed,Consolidated Edison Inc. Common Stock,23752222011,United States,,Public Utilities,Power Generation
edap,EDAP TMS S.A. American Depositary Shares,152701806,France,1997,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
edd,Morgan Stanley Emerging Markets Domestic Debt Fund Inc. Morgan Stanley Emerging Markets Domestic Debt Fund Inc. Common Stock,413736703,United States,2007,,
edf,Stone Harbor Emerging Markets Income Fund Common Shares of Beneficial Interest,133154183,United States,2010,,
edi,Stone Harbor Emerging Markets Total Income Fund Common Shares of Beneficial Interests,90090768,United States,2012,,
edit,Editas Medicine Inc. Common Stock,4756107067,United States,2016,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
edn,Empresa Distribuidora Y Comercializadora Norte S.A. (Edenor) Empresa Distribuidora Y Comercializadora Norte S.A. (Edenor) American Depositary Shares,181582276,Argentina,2007,Public Utilities,Electric Utilities: Central
edry,EuroDry Ltd. Common Shares ,13343808,Greece,,Consumer Services,Marine Transportation
edsa,Edesa Biotech Inc. Common Shares,46985583,United States,,Health Care,Major Pharmaceuticals
edtk,Skillful Craftsman Education Technology Limited Ordinary Share,37200000,China,2020,Consumer Services,Other Consumer Services
edu,New Oriental Education & Technology Group Inc. Sponsored ADR representing 1 Ordinary Share (Cayman Islands),30616268075,China,2006,Consumer Services,Other Consumer Services
educ,Educational Development Corporation Common Stock,127762812,United States,,Consumer Durables,Consumer Specialties
eea,The European Equity Fund Inc. Common Stock,78876365,United States,,,
eeft,Euronet Worldwide Inc. Common Stock,7481292418,United States,1997,Finance,Investment Bankers/Brokers/Service
eex,Emerald Holding Inc. Common Stock,370062722,United States,2017,Miscellaneous,Business Services
efc,Ellington Financial Inc. Common Stock ,655411809,United States,2010,Finance,Real Estate
eff,Eaton vance Floating-Rate Income Plus Fund Common Shares of Beneficial Interest,117519220,,2013,,
efl,Eaton Vance Floating-Rate 2022 Target Term Trust Common Shares of Beneficial Interest,212122076,United States,2017,,
efoi,Energy Focus Inc. Common Stock,14430633,United States,,Consumer Durables,Building Products
efr,Eaton Vance Senior Floating-Rate Fund Common Shares of Beneficial Interest,472211131,United States,2003,,
efsc,Enterprise Financial Services Corporation Common Stock,1082665846,United States,,Finance,Major Banks
eft,Eaton Vance Floating Rate Income Trust Common Shares of Beneficial Interest,509700965,United States,2004,,
efx,Equifax Inc. Common Stock,23196095089,United States,,Finance,Finance: Consumer Services
egan,eGain Corporation Common Stock,368984020,United States,1999,Technology,Computer Software: Prepackaged Software
egbn,Eagle Bancorp Inc. Common Stock,1291547206,United States,,Finance,Major Banks
egf,Blackrock Enhanced Government Fund Inc. Common Stock,57359642,United States,2005,,
eght,8x8 Inc Common Stock,3630877108,United States,,Technology,EDP Services
egle,Eagle Bulk Shipping Inc. Common Stock,231780559,United States,,Transportation,Marine Transportation
ego,Eldorado Gold Corporation Ordinary Shares,2356288795,Canada,,Basic Industries,Precious Metals
egov,NIC Inc Common Stock,1732742173,United States,1999,Miscellaneous,Business Services
egp,EastGroup Properties Inc. Common Stock,5441055722,United States,,Consumer Services,Real Estate Investment Trusts
egrx,Eagle Pharmaceuticals Inc. Common Stock,604728333,United States,2014,Health Care,Major Pharmaceuticals
egy,VAALCO Energy Inc.  Common Stock,100260963,United States,,Energy,Oil & Gas Production
eh,EHang Holdings Limited ADS,1183314814,China,2019,Capital Goods,Military/Government/Technical
ehc,Encompass Health Corporation Common Stock,8253888837,United States,,Health Care,Hospital/Nursing Management
ehi,Western Asset Global High Income Fund Inc Common Stock,441306819,United States,2003,,
eht,Eaton Vance High Income 2021 Target Term Trust Common Shares of Beneficial Interest,207941675,United States,2016,,
ehth,eHealth Inc. Common Stock,1790799263,United States,2006,Finance,Specialty Insurers
eidx,Eidos Therapeutics Inc. Common Stock,5017851498,United States,2018,Health Care,Major Pharmaceuticals
eig,Employers Holdings Inc Common Stock,934476515,United States,2007,Finance,Property-Casualty Insurers
eigi,Endurance International Group Holdings Inc. Common Stock,1337773807,United States,2013,Technology,Computer Software: Prepackaged Software
eigr,Eiger BioPharmaceuticals Inc. Common Stock,355571404,United States,2014,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
eim,Eaton Vance Municipal Bond Fund Common Shares of Beneficial Interest $.01 par value,964892197,United States,2002,,
eix,Edison International Common Stock,23430011153,United States,,Public Utilities,Electric Utilities: Central
ekso,Ekso Bionics Holdings Inc. Common Stock,51727436,United States,,Capital Goods,Industrial Machinery/Components
el,Estee Lauder Companies Inc. (The) Common Stock,95165565360,United States,1995,Consumer Non-Durables,Package Goods/Cosmetics
ela,Envela Corporation Common Stock,146468633,United States,,Consumer Services,Consumer Specialties
elan,Elanco Animal Health Incorporated Common Stock,14348577126,United States,2018,Health Care,Major Pharmaceuticals
elf,e.l.f. Beauty Inc. Common Stock,1202344784,United States,2016,Consumer Non-Durables,Package Goods/Cosmetics
ello,Ellomay Capital Ltd Ordinary Shares (Israel),425300140,Israel,,Public Utilities,Electric Utilities: Central
elmd,Electromed Inc. Common Stock,84856935,United States,2011,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
elox,Eloxx Pharmaceuticals Inc. Common Stock,162619176,United States,,Health Care,Biotechnology: Commercial Physical & Biological Resarch
elp,Companhia Paranaense de Energia (COPEL) Common Stock,3905062201,Brazil,,Public Utilities,Electric Utilities: Central
els,Equity Lifestyle Properties Inc. Common Stock,11480156289,United States,,Consumer Services,Real Estate Investment Trusts
else,Electro-Sensors Inc. Common Stock,13683950,United States,,Capital Goods,Industrial Machinery/Components
eltk,Eltek Ltd. Ordinary Shares,22076551,Israel,1997,Technology,Electrical Products
elvt,Elevate Credit Inc. Common Stock,152281704,United States,2017,Finance,Finance: Consumer Services
ely,Callaway Golf Company Common Stock,2283854015,United States,1992,Consumer Non-Durables,Recreational Products/Toys
elys,Elys Game Technology Corp. Common Stock,93242895,Canada,,Technology,Computer Software: Prepackaged Software
eman,eMagin Corporation Common Stock,112933584,United States,,Technology,Semiconductors
emcf,Emclaire Financial Corp Common Stock,78173428,United States,,Finance,Major Banks
emd,Western Asset Emerging Markets Debt Fund Inc Common Stock,841125730,United States,,,
eme,EMCOR Group Inc. Common Stock,5067349418,United States,,Capital Goods,Engineering & Construction
emf,Templeton Emerging Markets Fund Common Stock,297109282,United States,1987,,
emkr,EMCORE Corporation Common Stock,167636080,United States,1997,Technology,Semiconductors
eml,Eastern Company (The) Common Stock,154387214,United States,,Capital Goods,Industrial Machinery/Components
emn,Eastman Chemical Company Common Stock,13534597290,United States,,Basic Industries,Major Chemicals
emo,ClearBridge Energy Midstream Opportunity Fund Inc. Common Stock,197213459,United States,2011,,
empw,Empower Ltd. Class A Ordinary Shares,322196875,United States,2020,Finance,Business Services
emr,Emerson Electric Company Common Stock,47849585009,United States,,Energy,Consumer Electronics/Appliances
emx,EMX Royalty Corporation Common Shares (Canada),262449742,Canada,,Basic Industries,Precious Metals
enb,Enbridge Inc Common Stock,64867766588,Canada,,Energy,Natural Gas Distribution
enbl,Enable Midstream Partners LP Common Units representing limited partner interests,2308017320,,2014,Public Utilities,Natural Gas Distribution
endp,Endo International plc Ordinary Shares,1628489175,Ireland,,Health Care,Major Pharmaceuticals
eng,ENGlobal Corporation Common Stock,82544255,United States,,Consumer Services,Military/Government/Technical
enia,Enel Americas S.A. American Depositary Shares,12569458577,Chile,,Public Utilities,Electric Utilities: Central
enic,Enel Chile S.A. American Depositary Shares (Each representing 50 shares of Common Stock),5464019686,,2016,Public Utilities,Electric Utilities: Central
enlc,EnLink Midstream LLC Common Units representing Limited Partner Interests,1816089883,,,Public Utilities,Natural Gas Distribution
enlv,Enlivex Therapeutics Ltd. Ordinary Shares,128175100,Israel,2014,Health Care,Major Pharmaceuticals
enob,Enochian Biosciences Inc. Common Stock,145050323,United States,,Health Care,Major Pharmaceuticals
enpc,Executive Network Partnering Corporation Class A Common Stock,451101222,,2020,Finance,Business Services
enph,Enphase Energy Inc. Common Stock,22082301049,United States,2012,Technology,Semiconductors
enr,Energizer Holdings Inc. Common Stock,2935413198,United States,2015,Miscellaneous,Industrial Machinery/Components
ens,EnerSys Common Stock,3537107951,United States,2004,Consumer Non-Durables,Telecommunications Equipment
ensg,The Ensign Group Inc. Common Stock,3968600419,United States,2007,Health Care,Hospital/Nursing Management
ensv,Enservco Corporation Common Stock,10079314,United States,,Energy,Oilfield Services/Equipment
enta,Enanta Pharmaceuticals Inc. Common Stock,819020044,United States,2013,Health Care,Major Pharmaceuticals
entg,Entegris Inc. Common Stock,12961297686,United States,2000,Consumer Non-Durables,Plastic Products
entx,Entera Bio Ltd. Ordinary Shares,20239952,Israel,2018,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
env,Envestnet Inc Common Stock,4454634656,United States,2010,Miscellaneous,Business Services
enva,Enova International Inc. Common Stock,872749834,United States,2014,Finance,Finance: Consumer Services
enx,Eaton Vance New York Municipal Bond Fund Common Shares of Beneficial Interest $.01 par value,221224370,United States,2002,,
enz,Enzo Biochem Inc. Common Stock ($0.01 Par Value),119737625,United States,,Health Care,Medical Specialities
eod,Wells Fargo Global Dividend Opportunity Fund,211351502,United States,2007,,
eog,EOG Resources Inc. Common Stock,29063914130,United States,,Energy,Oil & Gas Production
eoi,Eaton Vance Enhance Equity Income Fund Eaton Vance Enhanced Equity Income Fund Shares of Beneficial Interest,629182368,United States,2004,,
eols,Evolus Inc. Common Stock,114413258,United States,2018,Health Care,Major Pharmaceuticals
eos,Eaton Vance Enhance Equity Income Fund II Common Stock,1068065484,,2005,,
eose,Eos Energy Enterprises Inc. Class A Common Stock,1232885288,United States,,Miscellaneous,Industrial Machinery/Components
eot,Eaton Vance Municipal Income Trust EATON VANCE NATIONAL MUNICIPAL OPPORTUNITIES TRUST,313000975,United States,2009,,
epac,Enerpac Tool Group Corp. Common Stock,1356249186,United States,,Technology,Industrial Machinery/Components
epam,EPAM Systems Inc. Common Stock,19939337285,United States,2012,Technology,EDP Services
epay,Bottomline Technologies Inc. Common Stock,2377937434,United States,1999,Technology,Computer Software: Prepackaged Software
epc,Edgewell Personal Care Company Common Stock,1907285794,,,Consumer Non-Durables,Package Goods/Cosmetics
epd,Enterprise Products Partners L.P. Common Stock,42839039213,United States,,Public Utilities,Natural Gas Distribution
epix,ESSA Pharma Inc. Common Stock,333887962,Canada,,Health Care,Major Pharmaceuticals
epm,Evolution Petroleum Corporation Inc. Common Stock,92929820,United States,,Energy,Oil & Gas Production
epr,EPR Properties Common Stock,2392164274,United States,1997,Consumer Services,Real Estate Investment Trusts
eprt,Essential Properties Realty Trust Inc. Common Stock,2192346055,United States,2018,Consumer Services,Real Estate Investment Trusts
epsn,Epsilon Energy Ltd. Common Share,85415707,United States,,Energy,Oil & Gas Production
epzm,Epizyme Inc. Common Stock,1171233058,United States,2013,Health Care,Major Pharmaceuticals
eq,Equillium Inc. Common Stock,129943244,United States,2018,Health Care,Major Pharmaceuticals
eqbk,Equity Bancshares Inc. Class A Common Stock,319498505,United States,2015,Finance,Major Banks
eqc,Equity Commonwealth Common Shares of Beneficial Interest,3286022750,United States,,Consumer Services,Real Estate Investment Trusts
eqd,Equity Distribution Acquisition Corp. Class A Common Stock,537423750,United States,2020,Finance,Business Services
eqh,Equitable Holdings Inc. Common Stock,11306097794,United States,2018,Finance,Specialty Insurers
eqix,Equinix Inc. Common Stock REIT,62761470238,United States,2000,Consumer Services,Real Estate Investment Trusts
eqnr,Equinor ASA,54325913690,Norway,,Energy,Integrated oil Companies
eqos,Diginex Limited Ordinary Shares,462732442,Singapore,2019,Finance,Business Services
eqr,Equity Residential Common Shares of Beneficial Interest,21914548769,United States,,Consumer Services,Real Estate Investment Trusts
eqs,Equus Total Return Inc. Common Stock,29604740,United States,,,
eqt,EQT Corporation Common Stock,3560736845,United States,,Energy,Oil & Gas Production
eqx,Equinox Gold Corp. Common Shares,2503356301,Canada,,Basic Industries,Precious Metals
erc,Wells Fargo Multi-Sector Income Fund Common Stock no par value,364875689,United States,2003,,
eres,East Resources Acquisition Company Class A Common Stock,435562500,United States,2020,Finance,Business Services
erf,Enerplus Corporation Common Stock,708524794,Canada,,Energy,Oil & Gas Production
erh,Wells Fargo Utilities and High Income Fund,117236822,,2004,,
eric,Ericsson American Depositary Shares,39619840000,Sweden,,Technology,Radio And Television Broadcasting And Communications Equipment
erie,Erie Indemnity Company Class A Common Stock,12747746920,United States,,Finance,Specialty Insurers
erii,Energy Recovery Inc. Common Stock,737438167,United States,2008,Technology,Industrial Machinery/Components
erj,Embraer S.A. Common Stock,1251494277,Brazil,2000,Capital Goods,Aerospace
eryp,Erytech Pharma S.A. American Depositary Shares,191508779,France,2017,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
es,Eversource Energy (D/B/A) Common Stock,29328629559,United States,,Public Utilities,Electric Utilities: Central
esbk,Elmira Savings Bank Elmira NY Common Stock,40565979,United States,,Finance,Major Banks
esca,Escalade Incorporated Common Stock,310239101,United States,,Consumer Non-Durables,Recreational Products/Toys
ese,ESCO Technologies Inc. Common Stock,2663918519,United States,,Capital Goods,Telecommunications Equipment
esea,Euroseas Ltd. Common Stock (Marshall Islands),30577414,Greece,,Transportation,Marine Transportation
esgc,Eros STX Global Corporation A Ordinary Shares,357106500,,2013,Consumer Services,Movies/Entertainment
esgr,Enstar Group Limited Ordinary Shares,4641178624,Bermuda,,Finance,Property-Casualty Insurers
esi,Element Solutions Inc. Common Stock,4358368399,United States,2014,Basic Industries,Major Chemicals
eslt,Elbit Systems Ltd. Ordinary Shares,5785119414,Israel,,Capital Goods,Military/Government/Technical
esnt,Essent Group Ltd. Common Shares,4864556364,,2013,Finance,Property-Casualty Insurers
esp,Espey Mfg. & Electronics Corp. Common Stock,52124061,United States,,Capital Goods,Industrial Machinery/Components
espr,Esperion Therapeutics Inc. Common Stock,782198612,United States,2013,Health Care,Major Pharmaceuticals
esq,Esquire Financial Holdings Inc. Common Stock,147892812,United States,2017,Finance,Commercial Banks
esrt,Empire State Realty Trust Inc. Class A Common Stock,2692423100,United States,2013,Consumer Services,Real Estate Investment Trusts
ess,Essex Property Trust Inc. Common Stock,15524568928,United States,1994,Consumer Services,Real Estate Investment Trusts
essa,ESSA Bancorp Inc. Common Stock,161319729,United States,,Finance,Banks
essc,East Stone Acquisition Corporation Ordinary Shares,177920175,United States,2020,Technology,Computer Software: Programming Data Processing
esta,Establishment Labs Holdings Inc. Common Shares,843773760,Costa Rica,2018,Health Care,Industrial Specialties
estc,Elastic N.V. Ordinary Shares,13013093472,United States,2018,Technology,Computer Software: Prepackaged Software
este,Earthstone Energy Inc. Class A Common Stock,364580471,United States,,Energy,Oil & Gas Production
esxb,Community Bankers Trust Corporation Common Stock (VA),156023790,United States,,Finance,Major Banks
et,Energy Transfer LP Common Units ,16705339586,United States,,Public Utilities,Natural Gas Distribution
etac,E.Merge Technology Acquisition Corp. Class A Common Stock,779526000,United States,2020,Finance,Business Services
etb,Eaton Vance Tax-Managed Buy-Write Income Fund Eaton Vance Tax-Managed Buy-Write Income Fund Common Shares of Beneficial Interest,399628579,United States,2005,,
etg,Eaton Vance Tax-Advantaged Global Dividend Income Fund Common Shares of Beneficial Interest,1374166854,United States,2004,,
eth,Ethan Allen Interiors Inc. Common Stock,504819602,United States,1993,Consumer Durables,Home Furnishings
etj,Eaton Vance Risk-Managed Diversified Equity Income Fund Common Shares of Beneficial Interest,656247931,United States,2007,,
etm,Entercom Communications Corp. Common Stock,340823375,United States,1999,Consumer Services,Broadcasting
etn,Eaton Corporation PLC Ordinary Shares,47507141000,Ireland,,Technology,Industrial Machinery/Components
etnb,89bio Inc. Common Stock,512476805,United States,2019,Health Care,Major Pharmaceuticals
eto,Eaton Vance Tax-Advantage Global Dividend Opp Common Stock,395166895,United States,2004,,
eton,Eton Pharmaceuticals Inc. Common Stock,197340294,United States,2018,Health Care,Major Pharmaceuticals
etr,Entergy Corporation Common Stock,19800994101,United States,,Public Utilities,Electric Utilities: Central
etrn,Equitrans Midstream Corporation Common Stock ,3418675350,,2018,Public Utilities,Natural Gas Distribution
etsy,Etsy Inc. Common Stock,22892445332,United States,2015,Miscellaneous,Business Services
ettx,Entasis Therapeutics Holdings Inc. Common Stock,86914830,United States,2018,Health Care,Major Pharmaceuticals
etv,Eaton Vance Corporation Eaton Vance Tax-Managed Buy-Write Opportunities Fund Common Shares of Beneficial Interest,1398172874,United States,2005,,
etw,Eaton Vance Corporation Eaton Vance Tax-Managed Global Buy-Write Opportunites Fund Common Shares of Beneficial Interest,1036343034,United States,2005,,
etx           ,Eaton Vance Municipal Income 2028 Term Trust Common Shares of Beneficial Interest,244936551,,2013,,
ety,Eaton Vance Tax-Managed Diversified Equity Income Fund Common Shares of Beneficial Interest,1861795362,United States,2006,,
eurn,Euronav NV Ordinary Shares,1617457408,,2015,Transportation,Marine Transportation
ev,Eaton Vance Corporation Common Stock,7753398797,United States,,Finance,Investment Managers
eva,Enviva Partners LP Common units representing limited partner interests,1815583752,United States,2015,Basic Industries,Forest Products
evbg,Everbridge Inc. Common Stock,5163692195,United States,2016,Technology,Computer Software: Prepackaged Software
evbn,Evans Bancorp Inc. Common Stock,147902298,United States,,Finance,Major Banks
evc,Entravision Communications Corporation Common Stock,239087468,United States,2000,Consumer Services,Broadcasting
ever,EverQuote Inc. Class A Common Stock,1046615807,United States,2018,Technology,Computer Software: Programming Data Processing
evf,Eaton Vance Senior Income Trust Common Stock,241967619,United States,1998,,
evfm,Evofem Biosciences Inc. Common Stock,201575109,United States,2014,Health Care,Major Pharmaceuticals
evg,Eaton Vance Short Diversified Income Fund Eaton Vance Short Duration Diversified Income Fund Common Shares of Beneficial Interest,221361778,United States,2005,,
evgn,Evogene Ltd Ordinary Shares,174971854,Israel,,Basic Industries,Agricultural Chemicals
evh,Evolent Health Inc Class A Common Stock,1413904240,United States,2015,Consumer Services,Other Consumer Services
evi,EVI Industries Inc.  Common Stock,432853392,United States,,Consumer Services,Other Consumer Services
